start_time,end_time,dominant_object,non_dominant_object,interaction_type
902.0045,902.574,Hand,FailOnTouchObstacleMed,PickedUp
902.0111,902.0445,FailOnTouchObstacleMed,FailOnTouchObstacleShort,Pushed
903.3558,904.2271,Hand,FailOnTouchObstacleShort,PickedUp
903.4556,904.0556,Hand,FailOnTouchObstacleLong,RightGate
903.5556,904.9222,HandToWrist,FailOnTouchObstacleLong,RightGate
903.5889,904.3556,Hand,FailOnTouchObstacleShort,RightGate
903.6,904.9111,Hand,FailOnTouchObstacleMed,LeftGate
903.6778,905.1,HandToWrist,FailOnTouchObstacleMed,LeftGate
903.8445,904.5556,WristToElbow,FailOnTouchObstacleLong,RightGate
904.0445,904.4111,WristToElbow,FailOnTouchObstacleMed,LeftGate
904.3667,904.7889,Hand,FailOnTouchObstacleLong,RightGate
904.7222,907.3889,WristToElbow,FailOnTouchObstacleLong,RightGate
904.8334,907.3556,WristToElbow,FailOnTouchObstacleMed,LeftGate
905.1445,905.9556,Hand,FailOnTouchObstacleShort-1,Pushed
905.1543,905.8133,Hand,FailOnTouchObstacleShort-1,PickedUp
905.1556,906.0667,Hand,FailOnTouchObstacleMed-1,LeftGate
905.1556,906.0667,Hand,FailOnTouchObstacleLong-1,RightGate
905.1667,905.9222,Hand,FailOnTouchObstacleShort-1,LeftGate
905.4889,906.1111,Hand,FailOnTouchObstacleShort,LeftGate
905.5778,906.0667,HandToWrist,FailOnTouchObstacleShort,LeftGate
905.6778,905.7222,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
905.6778,905.7222,HandToWrist,FailOnTouchObstacleLong-1,RightGate
906.2667,906.5333,Hand,FailOnTouchObstacleMed-1,LeftGate
906.2667,906.5333,Hand,FailOnTouchObstacleLong-1,RightGate
906.3334,906.7,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
906.3334,906.7,HandToWrist,FailOnTouchObstacleLong-1,RightGate
906.4556,906.7778,Hand,FailOnTouchObstacleShort-1,LeftGate
906.4667,907.1778,Hand,FailOnTouchObstacleShort,LeftGate
906.5111,907.1556,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
906.5111,907.1445,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
906.5111,907.1445,WristToElbow,FailOnTouchObstacleLong-1,RightGate
906.5222,907.1556,HandToWrist,FailOnTouchObstacleShort,LeftGate
906.6667,907.0445,WristToElbow,FailOnTouchObstacleShort,LeftGate
906.6667,907.0445,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
906.7,906.9556,Hand,Target,Pushed
906.8522,,Hand,Target,PickedUp
906.9556,907.1778,Hand,FailOnTouchObstacleShort-1,LeftGate
907.0222,907.2333,HandToWrist,FailOnTouchObstacleLong-1,RightGate
907.0222,907.2333,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
907.1223,907.2333,Hand,FailOnTouchObstacleLong-1,RightGate
907.1223,907.2333,Hand,FailOnTouchObstacleMed-1,LeftGate
907.2778,907.3889,HandToWrist,FailOnTouchObstacleMed,LeftGate
907.3,907.4,Hand,FailOnTouchObstacleMed,LeftGate
907.3223,907.4333,HandToWrist,FailOnTouchObstacleLong,RightGate
907.3445,907.4445,Hand,FailOnTouchObstacleLong,RightGate
