start_time,end_time,dominant_object,non_dominant_object,interaction_type
466.0974,467.2769,Hand,FailOnTouchObstacleLong,PickedUp
468.1889,468.4111,Hand,FailOnTouchObstacleShort,LeftGate
468.1889,468.4111,Hand,FailOnTouchObstacleMed,LeftGate
468.2333,468.6,HandToWrist,FailOnTouchObstacleShort,LeftGate
468.2333,468.6,HandToWrist,FailOnTouchObstacleMed,LeftGate
468.2778,468.6222,Hand,FailOnTouchObstacleLong,RightGate
468.3222,471.2111,HandToWrist,FailOnTouchObstacleLong,RightGate
468.3445,471.5111,WristToElbow,FailOnTouchObstacleShort,LeftGate
468.3445,471.5111,WristToElbow,FailOnTouchObstacleMed,LeftGate
468.4889,471.6445,WristToElbow,FailOnTouchObstacleLong,RightGate
469.1469,469.9351,Hand,FailOnTouchObstacleMed-1,PickedUp
470.8445,471.0222,Hand,FailOnTouchObstacleLong,RightGate
470.9778,471.0556,HandToWrist,FailOnTouchObstacleShort,LeftGate
470.9778,471.0778,HandToWrist,FailOnTouchObstacleMed,LeftGate
471.2556,471.6222,Hand,FailOnTouchObstacleMed-1,LeftGate
471.2889,471.6556,Hand,FailOnTouchObstacleShort-1,LeftGate
471.2889,471.6556,Hand,FailOnTouchObstacleLong-1,RightGate
471.3222,472.2778,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
471.3556,473.3222,HandToWrist,FailOnTouchObstacleShort-1,LeftGate
471.3556,473.3222,HandToWrist,FailOnTouchObstacleLong-1,RightGate
471.5556,472.9889,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
471.5778,472.9333,WristToElbow,FailOnTouchObstacleShort-1,LeftGate
471.5778,472.9333,WristToElbow,FailOnTouchObstacleLong-1,RightGate
472.3753,,Hand,Target,PickedUp
472.4222,473.3667,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
472.7889,473.3889,Hand,FailOnTouchObstacleLong-1,RightGate
472.7889,473.3889,Hand,FailOnTouchObstacleShort-1,LeftGate
472.8,473.0222,WristToElbow,FailOnTouchObstacleLong,RightGate
472.8445,473.4222,Hand,FailOnTouchObstacleMed-1,LeftGate
472.9667,472.9778,WristToElbow,FailOnTouchObstacleMed,LeftGate
472.9667,472.9778,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.0,473.0111,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
473.0,473.0111,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.0,473.0111,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.0334,473.0445,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.0334,473.0445,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.0334,473.0556,WristToElbow,FailOnTouchObstacleLong,RightGate
473.0667,473.0778,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.0667,473.0778,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.0667,473.7889,WristToElbow,FailOnTouchObstacleLong,RightGate
473.0889,473.1,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.0889,473.1,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.1111,473.1222,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.1111,473.1222,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.1333,473.1445,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.1333,473.1445,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.1556,473.1667,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.1556,473.1667,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.1778,473.1889,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.1778,473.1889,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.2,473.2111,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.2,473.2111,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.2222,473.2333,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.2222,473.2333,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.2444,473.2556,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.2444,473.2556,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.2667,473.2778,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.2667,473.2778,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.2889,473.3,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.2889,473.3,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.3111,473.3222,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.3111,473.3222,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.3333,473.3445,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.3333,473.3445,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.3556,473.3667,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.3556,473.3667,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.3778,473.3889,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.3778,473.3889,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.4,473.4111,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.4,473.4111,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.4222,473.4333,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.4222,473.4333,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.4445,473.4556,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.4445,473.4556,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.4667,473.4778,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.4667,473.4778,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.4889,473.5,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.4889,473.5,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.5111,473.5222,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.5111,473.5222,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.5334,473.5445,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.5334,473.5445,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.5556,473.5667,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.5556,473.5667,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.5778,473.8556,WristToElbow,FailOnTouchObstacleMed,LeftGate
473.5778,473.5889,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.6,473.6111,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.6111,473.9111,HandToWrist,FailOnTouchObstacleLong,RightGate
473.6222,473.6333,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.6445,473.6556,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.6667,473.6778,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.6889,473.9222,Hand,FailOnTouchObstacleLong,RightGate
473.6889,473.8445,WristToElbow,FailOnTouchObstacleShort,LeftGate
473.7333,473.9778,HandToWrist,FailOnTouchObstacleMed,LeftGate
473.8,473.9889,Hand,FailOnTouchObstacleMed,LeftGate
473.8111,473.9889,Hand,FailOnTouchObstacleShort,LeftGate
