start_time,end_time,dominant_object,non_dominant_object,interaction_type
1529.033,1531.4560000000001,Hand,FailOnTouchObstacleLong,RightGate
1529.1329999999998,1531.6329999999998,HandToWrist,FailOnTouchObstacleLong,RightGate
1529.233,1531.156,Hand,FailOnTouchObstacleMed,RightGate
1529.3110000000001,1530.767,HandToWrist,FailOnTouchObstacleMed,RightGate
1529.3270000000002,1530.221,Hand,FailOnTouchObstacleMed-1,PickedUp
1529.3670000000002,1530.611,WristToElbow,FailOnTouchObstacleLong,RightGate
1530.1779999999999,1530.1889999999999,Hand,FailOnTouchObstacleMed-1,RightGate
1530.1779999999999,1530.1889999999999,Hand,FailOnTouchObstacleMed-1,LeftGate
1530.211,1530.3220000000001,Hand,FailOnTouchObstacleMed-1,LeftGate
1530.2220000000002,1530.245,Hand,FailOnTouchObstacleMed-1,RightGate
1531.011,1532.256,Hand,FailOnTouchObstacleMed,Pushed
1531.078,1532.844,WristToElbow,FailOnTouchObstacleLong,RightGate
1531.089,1531.5220000000002,FailOnTouchObstacleShort,FailOnTouchObstacleMed,Pushed
1531.1670000000001,1531.444,Hand,FailOnTouchObstacleMed,RightGate
1531.204,1532.164,Hand,FailOnTouchObstacleMed,PickedUp
1531.467,1531.489,Hand,FailOnTouchObstacleMed,RightGate
1531.533,1532.111,FailOnTouchObstacleMed,FailOnTouchObstacleShort,Pushed
1531.589,1531.6,Hand,FailOnTouchObstacleMed,RightGate
1531.622,1531.6779999999999,FailOnTouchObstacleShort,FailOnTouchObstacleLong-1,Pushed
1531.6329999999998,1531.7220000000002,WristToElbow,FailOnTouchObstacleShort,RightGate
1531.645,1531.656,Hand,FailOnTouchObstacleMed,RightGate
1531.656,1532.378,Hand,FailOnTouchObstacleShort,RightGate
1531.656,1532.3329999999999,HandToWrist,FailOnTouchObstacleShort,RightGate
1531.6889999999999,1531.7220000000002,Hand,FailOnTouchObstacleMed,RightGate
1531.8220000000001,1531.844,Hand,FailOnTouchObstacleMed,RightGate
1531.856,1531.889,Hand,FailOnTouchObstacleMed,RightGate
1531.911,1532.256,Hand,FailOnTouchObstacleMed,RightGate
1532.1889999999999,,FailOnTouchObstacleShort,FailOnTouchObstacleMed,Pushed
1532.6,1533.656,HandToWrist,FailOnTouchObstacleLong,RightGate
1532.711,1533.3220000000001,Hand,FailOnTouchObstacleLong,RightGate
1533.089,1536.267,WristToElbow,FailOnTouchObstacleLong,RightGate
1533.214,1534.388,Hand,FailOnTouchObstacleMed-1,PickedUp
1534.878,1535.122,Hand,FailOnTouchObstacleMed,RightGate
1534.933,1535.411,HandToWrist,FailOnTouchObstacleMed,RightGate
1535.011,1535.3110000000001,Hand,FailOnTouchObstacleMed-1,LeftGate
1535.067,1536.0,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
1535.1,1535.967,WristToElbow,FailOnTouchObstacleMed,RightGate
1535.1329999999998,1535.933,Hand,FailOnTouchObstacleLong-1,RightGate
1535.1889999999999,1535.911,HandToWrist,FailOnTouchObstacleLong-1,RightGate
1535.211,1535.911,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
1535.3670000000002,1535.8670000000002,Hand,Target,Pushed
1535.5279999999998,,Hand,Target,PickedUp
1535.656,1536.089,HandToWrist,FailOnTouchObstacleMed,RightGate
1535.8110000000001,1536.0220000000002,Hand,FailOnTouchObstacleMed-1,LeftGate
1535.944,1536.1,Hand,FailOnTouchObstacleMed,RightGate
1536.1779999999999,1536.3220000000001,HandToWrist,FailOnTouchObstacleLong,RightGate
1536.211,1536.3329999999999,Hand,FailOnTouchObstacleLong,RightGate
