start_time,end_time,dominant_object,non_dominant_object,interaction_type
441.7556,441.9222,Hand,FailOnTouchObstacleShort,LeftGate
441.7556,441.9222,Hand,FailOnTouchObstacleMed,RightGate
441.7556,441.9222,Hand,FailOnTouchObstacleLong,RightGate
441.7889,442.0667,HandToWrist,FailOnTouchObstacleShort,LeftGate
441.7889,442.0667,HandToWrist,FailOnTouchObstacleMed,RightGate
441.7889,442.0667,HandToWrist,FailOnTouchObstacleLong,RightGate
441.9,444.7,WristToElbow,FailOnTouchObstacleShort,LeftGate
441.9,444.7,WristToElbow,FailOnTouchObstacleMed,RightGate
441.9,444.7,WristToElbow,FailOnTouchObstacleLong,RightGate
442.4445,444.4333,Hand,FailOnTouchObstacleLong-1,Pushed
442.5334,442.8556,Hand,FailOnTouchObstacleShort-1,RightGate
442.5334,442.8556,Hand,FailOnTouchObstacleMed-1,LeftGate
442.5445,443.1111,Hand,FailOnTouchObstacleLong-1,LeftGate
442.7067,444.2481,Hand,FailOnTouchObstacleLong-1,PickedUp
443.2889,443.3,Hand,FailOnTouchObstacleLong-1,LeftGate
443.3333,444.3667,Hand,FailOnTouchObstacleLong-1,LeftGate
443.3889,445.2889,HandToWrist,FailOnTouchObstacleShort,LeftGate
443.3889,445.2889,HandToWrist,FailOnTouchObstacleLong,RightGate
443.3889,445.2889,HandToWrist,FailOnTouchObstacleMed,RightGate
444.5334,445.3222,Hand,FailOnTouchObstacleShort,LeftGate
444.5334,445.3222,Hand,FailOnTouchObstacleLong,RightGate
444.5334,445.3222,Hand,FailOnTouchObstacleMed,RightGate
446.1445,446.8,Hand,FailOnTouchObstacleLong,Pushed
446.2702,447.5881,Hand,FailOnTouchObstacleLong,PickedUp
446.2889,446.3111,Hand,FailOnTouchObstacleLong,RightGate
446.3333,446.5445,Hand,FailOnTouchObstacleLong,RightGate
446.3556,446.4889,Hand,FailOnTouchObstacleShort,LeftGate
446.3556,446.4889,Hand,FailOnTouchObstacleMed,RightGate
446.5556,446.5667,Hand,FailOnTouchObstacleLong,RightGate
447.3111,447.7111,Hand,FailOnTouchObstacleLong,RightGate
448.2,448.3445,Hand,FailOnTouchObstacleLong,RightGate
448.2333,448.4222,HandToWrist,FailOnTouchObstacleLong,RightGate
448.3111,448.4333,Hand,FailOnTouchObstacleShort,LeftGate
448.3111,448.4333,Hand,FailOnTouchObstacleMed,RightGate
448.3333,448.8333,WristToElbow,FailOnTouchObstacleLong,RightGate
448.3445,448.5111,HandToWrist,FailOnTouchObstacleShort,LeftGate
448.3445,448.5111,HandToWrist,FailOnTouchObstacleMed,RightGate
448.4222,450.4778,WristToElbow,FailOnTouchObstacleShort,LeftGate
448.4222,450.4778,WristToElbow,FailOnTouchObstacleMed,RightGate
448.4889,448.6222,Hand,FailOnTouchObstacleLong-1,LeftGate
448.5222,448.7333,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
448.5778,448.7556,Hand,FailOnTouchObstacleShort-1,RightGate
448.5778,448.7556,Hand,FailOnTouchObstacleMed-1,LeftGate
448.6111,450.1445,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
448.6111,449.0222,HandToWrist,FailOnTouchObstacleShort-1,RightGate
448.6111,449.0222,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
448.7333,450.0,WristToElbow,FailOnTouchObstacleShort-1,RightGate
448.7333,450.0,WristToElbow,FailOnTouchObstacleMed-1,LeftGate
449.3981,,Hand,Target,PickedUp
449.8,450.1445,HandToWrist,FailOnTouchObstacleMed-1,LeftGate
449.8,450.1445,HandToWrist,FailOnTouchObstacleShort-1,RightGate
449.9333,450.6556,WristToElbow,FailOnTouchObstacleLong,RightGate
449.9556,450.1667,Hand,FailOnTouchObstacleMed-1,LeftGate
449.9556,450.1667,Hand,FailOnTouchObstacleShort-1,RightGate
450.0,450.3,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
450.1,450.3222,Hand,FailOnTouchObstacleLong-1,LeftGate
450.3111,450.6556,HandToWrist,FailOnTouchObstacleMed,RightGate
450.3111,450.6556,HandToWrist,FailOnTouchObstacleShort,LeftGate
450.4333,450.6778,Hand,FailOnTouchObstacleShort,LeftGate
450.4333,450.6778,Hand,FailOnTouchObstacleMed,RightGate
450.5111,450.8,HandToWrist,FailOnTouchObstacleLong,RightGate
450.6222,450.8222,Hand,FailOnTouchObstacleLong,RightGate
