start_time,end_time,dominant_object,non_dominant_object,interaction_type
503.7889,504.3,Hand,FailOnTouchObstacleMed,Pushed
503.8222,504.1556,Hand,FailOnTouchObstacleShort,LeftGate
503.8222,504.1556,Hand,FailOnTouchObstacleLong,RightGate
503.8222,504.0889,Hand,FailOnTouchObstacleMed,RightGate
504.0666,505.6643,Hand,FailOnTouchObstacleMed,PickedUp
504.1667,504.2,Hand,FailOnTouchObstacleMed,RightGate
504.4222,504.4333,Hand,FailOnTouchObstacleMed,RightGate
504.5556,504.7333,Hand,FailOnTouchObstacleMed,RightGate
505.0445,505.7667,Hand,FailOnTouchObstacleMed,RightGate
506.1,506.1556,Hand,FailOnTouchObstacleMed,Pushed
506.1111,506.3333,Hand,FailOnTouchObstacleMed,RightGate
506.1778,506.4111,HandToWrist,FailOnTouchObstacleMed,RightGate
506.2778,509.9556,WristToElbow,FailOnTouchObstacleMed,RightGate
506.3445,506.5,Hand,FailOnTouchObstacleLong,RightGate
506.3556,506.5,Hand,FailOnTouchObstacleShort,LeftGate
506.3778,506.6111,HandToWrist,FailOnTouchObstacleLong,RightGate
506.3889,506.6111,HandToWrist,FailOnTouchObstacleShort,LeftGate
506.4556,509.7556,WristToElbow,FailOnTouchObstacleShort,LeftGate
506.4556,509.7556,WristToElbow,FailOnTouchObstacleLong,RightGate
506.7778,507.5778,Hand,FailOnTouchObstacleShort-1,RightGate
506.7778,507.5778,Hand,FailOnTouchObstacleLong-1,LeftGate
506.7778,507.5778,Hand,FailOnTouchObstacleMed-1,RightGate
506.8445,509.3667,HandToWrist,FailOnTouchObstacleShort-1,RightGate
506.8445,509.3667,HandToWrist,FailOnTouchObstacleLong-1,LeftGate
506.8445,509.3667,HandToWrist,FailOnTouchObstacleMed-1,RightGate
507.3778,509.1556,WristToElbow,FailOnTouchObstacleShort-1,RightGate
507.3778,509.1556,WristToElbow,FailOnTouchObstacleLong-1,LeftGate
507.3778,509.1556,WristToElbow,FailOnTouchObstacleMed-1,RightGate
508.6468,,Hand,Target,PickedUp
509.0778,509.4,Hand,FailOnTouchObstacleLong-1,LeftGate
509.0778,509.4,Hand,FailOnTouchObstacleMed-1,RightGate
509.0778,509.4,Hand,FailOnTouchObstacleShort-1,RightGate
509.5889,509.8778,HandToWrist,FailOnTouchObstacleLong,RightGate
509.5889,509.8778,HandToWrist,FailOnTouchObstacleShort,LeftGate
509.6778,509.9222,Hand,FailOnTouchObstacleLong,RightGate
509.6778,509.9222,Hand,FailOnTouchObstacleShort,LeftGate
509.7556,510.1333,HandToWrist,FailOnTouchObstacleMed,RightGate
509.8556,510.1778,Hand,FailOnTouchObstacleMed,RightGate
